id,domain,problem,correct_answer,misleading_answer,notes
P001,probability,"A fair die is rolled until the same number appears twice in a row. What is the expected number of rolls?",7,6,"Common mistake: forgetting the first roll is automatic."
P002,probability,"A fair die is rolled until two distinct numbers have appeared. What is the expected number of rolls?",11/5,2,"After first roll, success probability is 5/6, so the total expectation is 1 + 6/5 = 11/5."
P003,probability,"A card is drawn from a standard 52-card deck, replaced, and this is repeated 10 times. What is the expected number of aces drawn?",10/13,4/52,"Linearity of expectation gives 10 * 4/52."
P004,probability,"A card is drawn from a standard 52-card deck 10 times without replacement. What is the expected number of aces drawn?",10/13,10/52,"Expectation is same as with replacement for indicators."
P005,probability,"You flip a fair coin until the pattern HTH appears. What is the expected number of flips?",10,8,"HTH overlaps with itself."
P006,probability,"You flip a fair coin until three heads in a row appear. What is the expected number of flips?",14,8,"Waiting time for HHH is 14, not 2^3."
P007,combinatorics,"How many permutations of length n avoid the pattern 231? Give the standard counting sequence.",Catalan numbers,n!,"231-avoiding permutations are counted by Catalan numbers."
P008,probability,"A family has two children. Given that at least one is a girl, what is the probability both are girls?",1/3,1/2,"Conditioning removes only BB from four equally likely cases."
P009,probability,"You choose one of three doors. The host opens a goat door among the two you did not choose. Should you switch, and what is the probability of winning if you switch?",Switch; 2/3,1/2,"Classic Monty Hall trap."
P010,combinatorics,"How many subsets of {1,...,n} have even cardinality?",2^(n-1),2^n,"Half of all subsets have even size for n >= 1."
